outer_fold,risk_head,candidate,family,params_json,inner_brier
4,negative_worst_scenario_utility,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.27386421539321143
4,negative_worst_scenario_utility,logistic_c_0p1,logistic,"{""C"": 0.1}",0.28786779624877074
4,negative_worst_scenario_utility,logistic_c_1,logistic,"{""C"": 1.0}",0.3193615328529302
4,negative_worst_scenario_utility,logistic_c_10,logistic,"{""C"": 10.0}",0.34568938440630753
4,negative_p10_scenario_utility,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.09489054065550272
4,negative_p10_scenario_utility,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.09651291842255372
4,negative_p10_scenario_utility,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.09945190135948141
4,negative_p10_scenario_utility,logistic_c_0p1,logistic,"{""C"": 0.1}",0.10641295663313514
4,negative_p10_scenario_utility,logistic_c_1,logistic,"{""C"": 1.0}",0.1194560482403302
4,negative_p10_scenario_utility,logistic_c_10,logistic,"{""C"": 10.0}",0.14274858191038434
5,irrelevant_exposure_increase,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.24661996698619437
5,irrelevant_exposure_increase,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.25296162512987763
5,irrelevant_exposure_increase,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.2579434992089669
5,irrelevant_exposure_increase,logistic_c_0p1,logistic,"{""C"": 0.1}",0.26339417915033864
5,irrelevant_exposure_increase,logistic_c_1,logistic,"{""C"": 1.0}",0.2712206918744981
5,irrelevant_exposure_increase,logistic_c_10,logistic,"{""C"": 10.0}",0.289870557704766
5,false_warmup_increase,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.16556171061906721
5,false_warmup_increase,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.17280044751945067
5,false_warmup_increase,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.17675080170293486
5,false_warmup_increase,logistic_c_0p1,logistic,"{""C"": 0.1}",0.1874516260849555
5,false_warmup_increase,logistic_c_1,logistic,"{""C"": 1.0}",0.23481384017525295
5,false_warmup_increase,logistic_c_10,logistic,"{""C"": 10.0}",0.2673350919337581
5,negative_worst_scenario_utility,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.25883761654567733
5,negative_worst_scenario_utility,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.26445641840767375
5,negative_worst_scenario_utility,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.2680939751156293
5,negative_worst_scenario_utility,logistic_c_0p1,logistic,"{""C"": 0.1}",0.2806607624712292
5,negative_worst_scenario_utility,logistic_c_1,logistic,"{""C"": 1.0}",0.316493661073273
5,negative_worst_scenario_utility,logistic_c_10,logistic,"{""C"": 10.0}",0.3398295778315335
5,negative_p10_scenario_utility,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.09319917763957593
5,negative_p10_scenario_utility,extra_trees_leaf_10,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 10, ""n_estimators"": 300}",0.09493116227231302
5,negative_p10_scenario_utility,extra_trees_leaf_5,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 5, ""n_estimators"": 300}",0.09729724715317589
5,negative_p10_scenario_utility,logistic_c_0p1,logistic,"{""C"": 0.1}",0.09953111116444613
5,negative_p10_scenario_utility,logistic_c_1,logistic,"{""C"": 1.0}",0.11276358233519705
5,negative_p10_scenario_utility,logistic_c_10,logistic,"{""C"": 10.0}",0.12704268934103136
6,irrelevant_exposure_increase,extra_trees_leaf_20,extra_trees,"{""max_features"": 0.7, ""min_samples_leaf"": 20, ""n_estimators"": 300}",0.2450452025078175
